station,category,location_x,location_y,year,crime_count
Balfour Tvl,Shoplifting,28.58695,-26.66282,2005,3
Barberton,Drug-related crime,31.05178,-25.79074,2005,34
Barberton,Theft of motor vehicle and motorcycle,31.05178,-25.79074,2005,48
Barberton,Robbery at residential premises,31.05178,-25.79074,2005,1
Barberton,Common assault,31.05178,-25.79074,2005,331
Barberton,Carjacking,31.05178,-25.79074,2005,6
Barberton,Commercial crime,31.05178,-25.79074,2005,44
Barberton,Theft out of or from motor vehicle,31.05178,-25.79074,2005,44
Barberton,Robbery with aggravating circumstances,31.05178,-25.79074,2005,42
Barberton,Truck hijacking,31.05178,-25.79074,2005,0
Barberton,Shoplifting,31.05178,-25.79074,2005,55
Barberton,Malicious damage to property,31.05178,-25.79074,2005,180
Barberton,Assault with the intent to inflict grievous bodily harm,31.05178,-25.79074,2005,445
Barberton,Bank robbery,31.05178,-25.79074,2005,0
Barberton,Driving under the influence of alcohol or drugs,31.05178,-25.79074,2005,7
Barberton,Robbery at non-residential premises,31.05178,-25.79074,2005,0
Barberton,Robbery of cash in transit,31.05178,-25.79074,2005,0
Barberton,Stock-theft,31.05178,-25.79074,2005,4
Barberton,Murder,31.05178,-25.79074,2005,14
Barberton,Arson,31.05178,-25.79074,2005,14
Barberton,Burglary at non-residential premises,31.05178,-25.79074,2005,15
Barberton,Attempted murder,31.05178,-25.79074,2005,18
Barberton,Illegal possession of firearms and ammunition,31.05178,-25.79074,2005,5
Barberton,All theft not mentioned elsewhere,31.05178,-25.79074,2005,592
Barberton,Sexual Offences,31.05178,-25.79074,2005,79
Barberton,Burglary at residential premises,31.05178,-25.79074,2005,407
Barberton,Common robbery,31.05178,-25.79074,2005,62
Barberton,Sexual offences as result of police action,31.05178,-25.79074,2005,0
Belfast,Robbery of cash in transit,30.04588,-25.70144,2005,0
Belfast,Carjacking,30.04588,-25.70144,2005,2
Belfast,Burglary at non-residential premises,30.04588,-25.70144,2005,34
Belfast,Malicious damage to property,30.04588,-25.70144,2005,100
Belfast,Truck hijacking,30.04588,-25.70144,2005,1
Belfast,Assault with the intent to inflict grievous bodily harm,30.04588,-25.70144,2005,153
Belfast,Common robbery,30.04588,-25.70144,2005,39
Belfast,Sexual Offences,30.04588,-25.70144,2005,36
Belfast,Arson,30.04588,-25.70144,2005,5
Belfast,Burglary at residential premises,30.04588,-25.70144,2005,132
Belfast,Theft out of or from motor vehicle,30.04588,-25.70144,2005,37
Belfast,Stock-theft,30.04588,-25.70144,2005,63
Belfast,Sexual offences as result of police action,30.04588,-25.70144,2005,0
Belfast,Theft of motor vehicle and motorcycle,30.04588,-25.70144,2005,39
Belfast,Common assault,30.04588,-25.70144,2005,149
Belfast,Commercial crime,30.04588,-25.70144,2005,18
Belfast,All theft not mentioned elsewhere,30.04588,-25.70144,2005,239
